DATE,BAMLH0A0HYM2EY
2013-02-15,6.08
2013-02-18,6.08
2013-02-19,6.06
2013-02-20,6.05
2013-02-21,6.09
2013-02-22,6.07
2013-02-25,6.01
2013-02-26,6.05
2013-02-27,6.01
2013-02-28,6.03
2013-03-01,6.03
2013-03-04,6.02
2013-03-05,5.97
2013-03-06,5.97
2013-03-07,5.94
2013-03-08,5.94
2013-03-11,5.93
2013-03-12,5.92
2013-03-13,5.90
2013-03-14,5.87
2013-03-15,5.84
2013-03-18,5.86
2013-03-19,5.84
2013-03-20,5.83
2013-03-21,5.83
2013-03-22,5.84
2013-03-25,5.81
2013-03-26,5.83
2013-03-27,5.83
2013-03-28,5.82
2013-03-29,.
2013-03-31,5.91
2013-04-01,5.90
2013-04-02,5.88
2013-04-03,5.87
2013-04-04,5.85
2013-04-05,5.88
2013-04-08,5.85
2013-04-09,5.83
2013-04-10,5.78
2013-04-11,5.72
2013-04-12,5.70
2013-04-15,5.73
2013-04-16,5.73
2013-04-17,5.74
2013-04-18,5.73
2013-04-19,5.73
2013-04-22,5.69
2013-04-23,5.66
2013-04-24,5.60
2013-04-25,5.55
2013-04-26,5.51
2013-04-29,5.45
2013-04-30,5.48
2013-05-01,5.42
2013-05-02,5.35
2013-05-03,5.32
2013-05-06,5.31
2013-05-07,5.26
2013-05-08,5.24
2013-05-09,5.24
2013-05-10,5.31
2013-05-13,5.43
2013-05-14,5.45
2013-05-15,5.46
2013-05-16,5.46
2013-05-17,5.47
2013-05-20,5.45
2013-05-21,5.44
2013-05-22,5.43
2013-05-23,5.58
2013-05-24,5.60
2013-05-27,5.59
2013-05-28,5.61
2013-05-29,5.81
2013-05-30,5.79
2013-05-31,5.93
2013-06-03,6.05
2013-06-04,6.08
2013-06-05,6.30
2013-06-06,6.34
2013-06-07,6.22
2013-06-10,6.24
2013-06-11,6.44
2013-06-12,6.41
2013-06-13,6.45
2013-06-14,6.32
2013-06-17,6.28
2013-06-18,6.27
2013-06-19,6.30
2013-06-20,6.66
2013-06-21,6.71
2013-06-24,6.99
2013-06-25,7.02
2013-06-26,6.92
2013-06-27,6.80
2013-06-28,6.74
2013-06-30,6.82
2013-07-01,6.78
2013-07-02,6.74
2013-07-03,6.77
2013-07-04,6.77
2013-07-05,6.84
2013-07-08,6.84
2013-07-09,6.76
2013-07-10,6.72
2013-07-11,6.54
2013-07-12,6.47
2013-07-15,6.39
2013-07-16,6.33
2013-07-17,6.24
2013-07-18,6.15
2013-07-19,6.11
2013-07-22,6.08
2013-07-23,6.07
2013-07-24,6.18
2013-07-25,6.29
2013-07-26,6.30
2013-07-29,6.29
2013-07-30,6.30
2013-07-31,6.34
2013-08-01,6.37
2013-08-02,6.36
2013-08-05,6.38
2013-08-06,6.41
2013-08-07,6.42
2013-08-08,6.40
2013-08-09,6.40
2013-08-12,6.40
2013-08-13,6.43
2013-08-14,6.40
2013-08-15,6.48
2013-08-16,6.50
2013-08-19,6.55
2013-08-20,6.58
2013-08-21,6.60
2013-08-22,6.62
2013-08-23,6.59
2013-08-26,6.56
2013-08-27,6.57
2013-08-28,6.57
2013-08-29,6.54
2013-08-30,.
2013-09-02,6.58
2013-09-03,6.56
2013-09-04,6.57
2013-09-05,6.61
2013-09-06,6.60
2013-09-09,6.57
2013-09-10,6.57
2013-09-11,6.54
2013-09-12,6.52
2013-09-13,6.51
2013-09-16,6.40
2013-09-17,6.42
2013-09-18,6.34
2013-09-19,6.23
2013-09-20,6.26
2013-09-23,6.30
2013-09-24,6.30
2013-09-25,6.31
2013-09-26,6.33
2013-09-27,6.36
2013-09-30,6.47
2013-10-01,6.44
2013-10-02,6.41
2013-10-03,6.37
2013-10-04,6.36
2013-10-07,6.35
2013-10-08,6.34
2013-10-09,6.34
2013-10-10,6.30
2013-10-11,6.30
2013-10-14,6.27
2013-10-15,6.23
2013-10-16,6.21
2013-10-17,6.12
2013-10-18,6.06
2013-10-21,6.02
2013-10-22,5.98
2013-10-23,5.97
2013-10-24,5.95
2013-10-25,5.96
2013-10-28,5.98
2013-10-29,5.99
2013-10-30,5.95
2013-10-31,5.93
2013-11-01,5.94
2013-11-04,5.94
2013-11-05,5.98
2013-11-06,5.96
2013-11-07,5.93
2013-11-08,6.07
2013-11-11,6.07
2013-11-12,6.07
2013-11-13,6.10
2013-11-14,6.03
2013-11-15,6.00
2013-11-18,5.95
2013-11-19,5.94
2013-11-20,5.94
2013-11-21,5.97
2013-11-22,5.95
2013-11-25,5.90
2013-11-26,5.87
2013-11-27,5.86
2013-11-28,5.86
2013-11-29,5.86
2013-11-30,5.93
2013-12-02,5.90
2013-12-03,5.89
2013-12-04,5.91
2013-12-05,5.91
2013-12-06,5.90
2013-12-09,5.87
2013-12-10,5.85
2013-12-11,5.85
2013-12-12,5.89
2013-12-13,5.90
2013-12-16,5.87
2013-12-17,5.89
2013-12-18,5.90
2013-12-19,5.90
2013-12-20,5.87
2013-12-23,5.86
2013-12-24,5.87
2013-12-25,.
2013-12-26,5.87
2013-12-27,5.87
2013-12-30,5.85
2013-12-31,5.93
2014-01-01,.
2014-01-02,5.91
2014-01-03,5.90
2014-01-06,5.86
2014-01-07,5.81
2014-01-08,5.82
2014-01-09,5.81
2014-01-10,5.78
2014-01-13,5.76
2014-01-14,5.76
2014-01-15,5.73
2014-01-16,5.72
2014-01-17,5.70
2014-01-20,5.70
2014-01-21,5.68
2014-01-22,5.69
2014-01-23,5.70
2014-01-24,5.83
2014-01-27,5.87
2014-01-28,5.83
2014-01-29,5.85
2014-01-30,5.83
2014-01-31,5.91
2014-02-03,5.92
2014-02-04,5.97
2014-02-05,5.96
2014-02-06,5.93
2014-02-07,5.88
2014-02-10,5.84
2014-02-11,5.80
2014-02-12,5.78
2014-02-13,5.78
2014-02-14,5.75
2014-02-17,5.74
2014-02-18,5.69
2014-02-19,5.66
2014-02-20,5.66
